model,model_label,option,gold_count,gold_share,predicted_count,predicted_share_among_attempts,accuracy_when_gold,decline_rate_when_gold
openai-gpt-5,GPT-5,A,696,0.1791044776119403,661,0.1753780843725126,0.8692528735632183,0.02586206896551724
openai-gpt-5,GPT-5,B,811,0.20869788986103963,783,0.2077474131069249,0.8840937114673243,0.0345252774352651
openai-gpt-5,GPT-5,C,822,0.21152856407617088,826,0.21915627487397188,0.8929440389294404,0.0267639902676399
openai-gpt-5,GPT-5,D,851,0.21899125064333505,826,0.21915627487397188,0.8965922444183314,0.03172737955346651
openai-gpt-5,GPT-5,E,706,0.18167781780751416,673,0.17856195277261874,0.8696883852691218,0.031161473087818695
x-ai-grok-4-fast,Grok 4 Fast,A,696,0.1791044776119403,587,0.17133683596030355,0.7557471264367817,0.1206896551724138
x-ai-grok-4-fast,Grok 4 Fast,B,811,0.20869788986103963,708,0.20665499124343256,0.781750924784217,0.12453760789149199
x-ai-grok-4-fast,Grok 4 Fast,C,822,0.21152856407617088,782,0.22825452422650322,0.8199513381995134,0.09610705596107055
x-ai-grok-4-fast,Grok 4 Fast,D,851,0.21899125064333505,749,0.21862230005837713,0.7896592244418331,0.11868390129259694
x-ai-grok-4-fast,Grok 4 Fast,E,706,0.18167781780751416,600,0.17513134851138354,0.7620396600566572,0.13456090651558072
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,A,696,0.1791044776119403,623,0.16048428645028337,0.8261494252873564,0.0
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,B,811,0.20869788986103963,836,0.21535291087068523,0.8791615289765722,0.0
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,C,822,0.21152856407617088,902,0.23235445646573932,0.8905109489051095,0.0
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,D,851,0.21899125064333505,860,0.22153529108706851,0.8766157461809636,0.0
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,E,706,0.18167781780751416,661,0.1702730551262236,0.8328611898016998,0.0
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,A,696,0.1791044776119403,654,0.1695618356235416,0.7456896551724138,0.010057471264367816
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,B,811,0.20869788986103963,785,0.20352605652061187,0.7595561035758323,0.007398273736128237
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,C,822,0.21152856407617088,932,0.24163857920663728,0.8211678832116789,0.006082725060827251
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,D,851,0.21899125064333505,819,0.21234119782214156,0.7767332549941246,0.005875440658049354
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,E,706,0.18167781780751416,667,0.17293233082706766,0.7577903682719547,0.0084985835694051
