grade_bucket,series,split_year,early_to_late_r2,late_to_early_r2
Grade 3-4,gpt5,2012,-0.06699143867009627,-0.0732986840924652
Grade 3-4,ensemble_equal,2012,0.002916107536899193,-0.31586406494572916
Grade 5-6,gpt5,2012,-0.7646364437635644,-1.2291095453346612
Grade 5-6,ensemble_equal,2012,-0.38080474793690744,-1.4709745846597846
Grade 7-8,gpt5,2012,-1.2707425658023128,-0.7703999488654243
Grade 7-8,ensemble_equal,2012,-0.4490395387050683,-0.5722087574570369
Grade 9-10,gpt5,2012,-9.21852840388774,-3.071056500329348
Grade 9-10,ensemble_equal,2012,-8.59346999482569,-3.164439227124543
Grade 11-13,gpt5,2012,-6.757907657641247,-6.630876887987731
Grade 11-13,ensemble_equal,2012,-8.55111835038261,-7.841793278893613
