year,exam,grade_bucket,ensemble_pct,reference_pct,model_count,pooled_ensemble_pct,possible_points,lomo_pct__anthropic-claude-sonnet-4.5,lomo_pct__openai-gpt-5,lomo_pct__qwen-qwen3-vl-235b-a22b-thinking,lomo_pct__x-ai-grok-4-fast,human_score,human_max,human_pct,students,human_grades_used,human_mean_source,human_difficulty,ensemble_difficulty,reference_difficulty,lomo_difficulty__anthropic-claude-sonnet-4.5,lomo_difficulty__openai-gpt-5,lomo_difficulty__qwen-qwen3-vl-235b-a22b-thinking,lomo_difficulty__x-ai-grok-4-fast,opposite_difficulty_sign,item_count,multimodal_share,associated_image_share,option_image_share,three_point_share,five_point_share,year_per_decade
2001,3-4,Grade 3-4,74.16666666666667,77.38095238095238,4,74.16666666666667,105.0,72.6984126984127,73.0952380952381,76.26984126984128,74.60317460317461,37.69979988694178,105.0,35.904571320896935,17690,3-4,histogram,1.9721431030771768,0.378246410555542,0.594685034818723,0.6583972713749578,0.26245963463792366,-0.026619129028391947,0.6267129371639222,False,21,0.38095238095238093,0.3333333333333333,0.09523809523809523,0.3333333333333333,0.3333333333333333,-1.1347826086956503
2002,3-4,Grade 3-4,82.73809523809524,85.71428571428571,4,82.73809523809524,105.0,83.33333333333333,81.74603174603175,80.55555555555556,85.31746031746032,50.22098879496757,105.0,47.82951313806435,25435,3-4,histogram,-0.7668061466473456,-0.8439507716492931,-0.578292491745613,-0.9117200632822583,-0.8041848298601977,-0.6015923160416229,-0.9640850762380614,False,21,0.42857142857142855,0.42857142857142855,0.23809523809523808,0.3333333333333333,0.3333333333333333,-1.0347826086956502
2003,3-4,Grade 3-4,78.39285714285714,73.80952380952381,4,78.39285714285714,105.0,76.74603174603175,79.92063492063492,76.74603174603175,80.15873015873017,46.752506633151796,105.0,44.5261967934779,35805,3-4,histogram,-0.008092522520253042,-0.22436470011489643,1.0973896890605812,0.060815300721837655,-0.5791130621220623,-0.09050503869652766,-0.19814529200747744,False,20,0.5,0.45,0.15,0.35,0.3,-0.9347826086956502
2004,3-4,Grade 3-4,90.29761904761905,95.23809523809524,4,90.29761904761905,105.0,90.23809523809524,88.65079365079366,89.04761904761905,93.25396825396825,38.433634114393826,105.0,36.60346106132745,48097,3-4,histogram,1.8116204305525554,-1.9218607865105022,-1.9188382363905705,-1.9311246014552284,-1.6555432556522778,-1.740891038456731,-2.1424539750543463,True,21,0.47619047619047616,0.42857142857142855,0.09523809523809523,0.3333333333333333,0.3333333333333333,-0.8347826086956502
2005,3-4,Grade 3-4,86.36904761904762,86.9047619047619,4,86.36904761904762,105.0,85.0,86.19047619047619,85.0,89.28571428571429,44.86030278693847,105.0,42.724097892322355,58523,3-4,histogram,0.4058178771215797,-1.3616870779999524,-0.7458607098262324,-1.1577832276688376,-1.352185655657398,-1.197860806277567,-1.553269525646205,True,21,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.3333333333333333,0.3333333333333333,-0.7347826086956502
2006,3-4,Grade 3-4,73.57142857142857,76.19047619047619,4,73.57142857142857,105.0,75.07936507936508,72.6984126984127,71.90476190476191,74.6031746031746,48.55698765825399,105.0,46.24475015071808,84753,3-4,histogram,-0.40281398117325956,0.46312121487532315,0.7622532528993424,0.30687846510841704,0.3113882797983891,0.5590017095961965,0.6267129371639243,True,21,0.5714285714285714,0.5238095238095238,0.19047619047619047,0.3333333333333333,0.3333333333333333,-0.6347826086956502
2007,3-4,Grade 3-4,87.44047619047619,92.38095238095238,4,87.44047619047619,105.0,86.82539682539682,85.79365079365078,88.41269841269842,88.73015873015873,48.43669546934466,105.0,46.130186161280626,112721,"3,4",histogram,-0.37650064919008475,-1.5144617257755564,-1.516674512997083,-1.427280979139852,-1.3032570104969323,-1.6557098255658822,-1.4707837027290647,False,21,0.38095238095238093,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.3333333333333333,-0.5347826086956502
2008,3-4,Grade 3-4,81.42857142857143,78.33333333333333,4,81.42857142857143,105.0,78.8095238095238,82.46031746031746,81.98412698412699,82.46031746031746,52.13697182543229,105.0,49.654258881364086,190207,"3,4",histogram,-1.1859181273325476,-0.6572262021457764,0.46063046035422783,-0.24383433137582908,-0.8922563911490328,-0.7932500450460339,-0.5398722726641983,False,21,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.3333333333333333,0.3333333333333333,-0.4347826086956502
2009,3-4,Grade 3-4,78.27380952380952,76.19047619047619,4,78.27380952380952,105.0,80.55555555555556,78.96825396825396,75.0,78.57142857142857,43.60321330522228,105.0,41.52686981449741,197787,"3,4",histogram,0.680800094710854,-0.20738973925094017,0.7622532528993424,-0.501614789304628,-0.4616843137369465,0.14374329675330774,0.03752848775578079,True,21,0.42857142857142855,0.38095238095238093,0.09523809523809523,0.3333333333333333,0.3333333333333333,-0.3347826086956502
2010,3-4,Grade 3-4,78.22916666666667,85.41666666666667,4,78.22916666666667,120.0,78.2638888888889,75.83333333333333,78.2638888888889,80.55555555555556,56.21312404090238,120.0,46.84427003408531,209181,"3,4",histogram,-0.5405131464957826,-0.20102412892695812,-0.5364004372254596,-0.16327793827308373,-0.07514801696927871,-0.2941413757637154,-0.25706373694829093,False,24,0.5,0.4583333333333333,0.20833333333333334,0.3333333333333333,0.3333333333333333,-0.2347826086956502
2011,3-4,Grade 3-4,78.125,87.5,4,78.125,120.0,82.6388888888889,75.0,74.65277777777777,80.20833333333333,51.16889191834144,120.0,42.64074326528453,226847,"3,4",histogram,0.4249629678638804,-0.1861710381709959,-0.8296448188665432,-0.8091937447878528,0.027602137867695775,0.19032677255299174,-0.20551009762507755,True,24,0.5833333333333334,0.5416666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.1347826086956502
2012,3-4,Grade 3-4,85.9375,84.375,4,85.9375,120.0,84.5138888888889,86.45833333333333,88.19444444444444,84.58333333333333,51.45910762896803,120.0,42.88258969080669,222245,"3,4",histogram,0.3694151005544676,-1.3001528448681114,-0.3897782464049169,-1.0860148047227538,-1.3852124911407109,-1.6264287836346518,-0.8550859530975545,True,24,0.3333333333333333,0.2916666666666667,0.08333333333333333,0.3333333333333333,0.3333333333333333,-0.0347826086956502
2013,3-4,Grade 3-4,74.0625,78.125,4,74.0625,120.0,76.875,72.70833333333333,73.05555555555556,73.6111111111111,52.41823725010366,120.0,43.681864375086384,246002,"3,4",reported,0.18583577325912665,0.3930995013115042,0.4899548985183356,0.04177469871573348,0.3101650636693778,0.40461076123153317,0.7740090495159602,False,24,0.4166666666666667,0.375,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.06521739130434981
2014,3-4,Grade 3-4,70.57291666666667,77.29166666666667,4,70.57291666666667,120.0,70.1388888888889,68.33333333333333,71.18055555555556,72.6388888888889,58.29681302717373,120.0,48.58067752264478,266397,"3,4",reported,-0.9393353848700816,0.8906780416362151,0.6072526511747686,1.0362799881114875,0.8496033765634968,0.6561615305498222,0.9183592396209518,True,24,0.625,0.625,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.16521739130434981
2015,3-4,Grade 3-4,78.33333333333333,87.29166666666667,4,78.33333333333333,120.0,81.18055555555556,75.34722222222223,78.05555555555556,78.75,50.287081570763554,120.0,41.90590130896963,258855,"3,4",reported,0.5937432315979357,-0.21587721968291831,-0.8003203807024354,-0.593888475949595,-0.015210426647711281,-0.2661912902839042,0.011015187532414079,True,24,0.5416666666666666,0.5416666666666666,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.2652173913043498
2016,3-4,Grade 3-4,69.94791666666667,72.91666666666667,4,69.94791666666667,120.0,72.77777777777779,68.95833333333333,67.91666666666667,70.1388888888889,55.788736716352645,120.0,46.49061393029387,256142,"3,4",reported,-0.4592845640011001,0.9797965861719844,1.2230658526210454,0.6466799778327382,0.7725407604357656,1.0940462030668434,1.2895454427480815,True,24,0.625,0.625,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.3652173913043498
2017,3-4,Grade 3-4,74.375,94.375,4,74.375,120.0,75.20833333333333,67.70833333333333,76.25,78.33333333333333,57.41566815572054,120.0,47.846390129767116,284073,"3,4",reported,-0.7706824945969306,0.3485402290436196,-1.7973512782821208,0.28783786310231285,0.9266659926912282,-0.023957216125551607,0.07287955472026973,True,24,0.5833333333333334,0.5833333333333334,0.25,0.3333333333333333,0.3333333333333333,0.4652173913043498
