id,year,group,points,problem_number
00_1113_p1_a90963f1-aa2f-4b5d-ab97-2908698ce146,2000,11-13,3,5
00_1113_p2_41b6de04-4ccd-43b2-aedd-3d5c677f53b2,2000,11-13,4,13
00_1113_p3_c5ef2bf5-ee65-486f-bfea-70eda648434a,2000,11-13,4,17
00_1113_p4_d910ae76-ea2f-4a3b-bd5d-b0cabe437e5a,2000,11-13,5,23
00_1113_p4_279f1e6b-fd89-42bc-a258-2a4810a318a9,2000,11-13,5,25
00_34_p1_56944122-e9b9-4ce2-a445-664288892a46,2000,3-4,3,3
00_34_p2_ae5def98-fd35-4327-bf3c-2df4f6931081,2000,3-4,4,12
00_34_p3_e088be75-296b-4217-baba-75c242b5ef34,2000,3-4,5,17
00_34_p3_296188f2-6727-4a85-b941-3a92308af041,2000,3-4,5,19
00_56_p1_4ed3fd15-9f59-4438-ab14-ae6f4c196e30,2000,5-6,3,6
00_56_p2_d32ccafb-58ca-4576-8369-7850a4be0119,2000,5-6,3,10
00_56_p2_0a1484c4-5031-4c4e-8abb-2e113a160959,2000,5-6,4,13
00_56_p3_dfd5465a-a85e-4579-81a7-2ca81c64341c,2000,5-6,4,18
00_56_p3_6a804cfb-fc34-427c-b99c-a058eeecd3d1,2000,5-6,5,21
00_56_p3_9b4a142b-9361-4fe3-8adc-324c63260c9a,2000,5-6,5,22
00_56_p4_915e634b-5c7a-4ef8-a2ae-36c46793e94e,2000,5-6,5,28
00_78_p1_634aba22-e95b-47ec-818e-b57110f6232f,2000,7-8,3,1
00_78_p2_90e97f5c-ea26-4e32-84a1-5479a5f2b5c7,2000,7-8,3,9
00_78_p2_8ef80303-436f-463a-994a-f9124b962fb5,2000,7-8,4,12
00_78_p3_46f262db-9537-450d-990e-f7e7301600ce,2000,7-8,4,17
00_78_p3_7bce9eaf-d6c5-47d6-a332-44c3d76dffbe,2000,7-8,4,20
00_78_p3_33f4204a-050f-424f-9976-85ba165742f5,2000,7-8,5,21
00_78_p4_7e4a0d11-5ac7-4111-8322-abe1a2e1a29e,2000,7-8,5,25
00_78_p4_6be2782b-9158-4bd1-a478-373c6821d4bc,2000,7-8,5,28
00_78_p4_7538b4c0-e40f-4c0f-8e06-4403a81be5db,2000,7-8,5,30
00_910_p1_820eae1d-3f62-49f6-a491-963216d56d45,2000,9-10,3,7
00_910_p3_c7b24a94-a9fd-4968-ab25-69b13b5daa83,2000,9-10,4,18
00_910_p3_fe902db4-ba2b-4f50-8a8d-a0e25f94f2be,2000,9-10,5,21
00_910_p3_76820e69-2e6f-43ba-925c-5960c05135a4,2000,9-10,5,22
00_910_p4_55ccf70f-cc55-4ca3-8c9b-b5759c00ebee,2000,9-10,5,24
00_910_p4_91594a3f-1fe2-47a0-9a3b-6e23bdb62069,2000,9-10,5,27
00_910_p4_e83bcb3e-0aca-4bd0-9596-630418aec23a,2000,9-10,5,29
01_1113_p1_aa6d11e7-788b-4e62-98b3-baaa709eb26a,2001,11-13,3,7
01_1113_p2_0771daee-2ddf-4eda-a648-2c2e89432be7,2001,11-13,4,11
01_1113_p2_dc7a7739-8b52-4d65-abfe-74221916dfa8,2001,11-13,4,13
01_1113_p2_39c796f3-5acb-4545-93f7-aa07454f1121,2001,11-13,4,15
01_1113_p3_628778ae-22f3-4096-b77d-ebad70696b3d,2001,11-13,4,19
01_1113_p3_2e2856c4-5765-4afc-8f7a-151d32e344ce,2001,11-13,5,21
01_1113_p3_65cc30bf-f9fa-4ee8-a20a-0f777d5513ec,2001,11-13,5,22
01_1113_p4_078e08bc-77f5-49c1-838c-cdbdfb2e69a4,2001,11-13,5,26
