series,series_label,specification,effect_per_10pp_model,ci_low_per_10pp,ci_high_per_10pp,bootstrap_samples,r2_full,r2_baseline,r2_increment,covariates,fixed_effects
openai-gpt-5,GPT-5,Raw,-2.623877220590666,-3.8835599929590456,-1.3338226036376877,2000,0.18361103903720455,0.0,0.18361103903720455,none,none
openai-gpt-5,GPT-5,Grade fixed effects,-1.8496597985249361,-3.474826442401459,-0.16844625241064887,2000,0.23455135529504878,0.17669007980741547,0.05786127548763331,none,grade_bucket
openai-gpt-5,GPT-5,Grade FE + visual share,-1.0180881467199712,-2.498656061169698,0.6350132187021413,2000,0.32020389453495957,0.3047801471076059,0.01542374742735364,multimodal_share,grade_bucket
openai-gpt-5,GPT-5,Grade FE + image-location shares,-0.6993666354280521,-2.06352970400702,0.5803522067786819,2000,0.43962298807874733,0.4324184128917039,0.007204575187043427,"associated_image_share, option_image_share",grade_bucket
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,Raw,-2.2177019889111924,-3.4301130138114893,-0.9398955116565516,2000,0.16113490776906625,0.0,0.16113490776906625,none,none
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,Grade fixed effects,-1.5661487479854168,-3.025865471884679,-0.2263378157824748,2000,0.23340772562153478,0.17669007980741547,0.05671764581411931,none,grade_bucket
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,Grade FE + visual share,-0.7182045370920425,-2.081956394358792,0.3672604545242645,2000,0.3146820318385841,0.3047801471076059,0.009901884730978194,multimodal_share,grade_bucket
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,Grade FE + image-location shares,-0.19500141261145332,-1.4685634550489373,0.8413075038656004,2000,0.43310503325956107,0.4324184128917039,0.0006866203678571603,"associated_image_share, option_image_share",grade_bucket
x-ai-grok-4-fast,Grok 4 Fast,Raw,-2.1316303163394172,-3.570921159645821,-0.8333050222617464,2000,0.2064781761728406,0.0,0.2064781761728406,none,none
x-ai-grok-4-fast,Grok 4 Fast,Grade fixed effects,-1.654227010774438,-3.7462701994399774,0.059144360650406944,2000,0.2478819417432121,0.17669007980741547,0.07119186193579663,none,grade_bucket
x-ai-grok-4-fast,Grok 4 Fast,Grade FE + visual share,-0.4065769851714495,-2.3916845813891032,1.1568676828457956,2000,0.3073382939060896,0.3047801471076059,0.0025581467984836515,multimodal_share,grade_bucket
x-ai-grok-4-fast,Grok 4 Fast,Grade FE + image-location shares,0.38463252603179254,-1.7537433803968914,1.8565797571702705,2000,0.43454300582428174,0.4324184128917039,0.002124592932577829,"associated_image_share, option_image_share",grade_bucket
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,Raw,-1.8132284737414641,-2.8319827033123897,-0.6228222706713237,2000,0.11545564367580619,0.0,0.11545564367580619,none,none
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,Grade fixed effects,-1.6035830336669052,-2.6877919425912116,-0.5544887099842031,2000,0.26219004794608547,0.17669007980741547,0.08549996813867,none,grade_bucket
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,Grade FE + visual share,-0.8902087133822982,-1.892866976767635,0.14481139004997917,2000,0.32557762352599906,0.3047801471076059,0.020797476418393135,multimodal_share,grade_bucket
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,Grade FE + image-location shares,-0.24741957897174563,-1.2714003205612092,0.7279501112160052,2000,0.4338759573077502,0.4324184128917039,0.0014575444160462858,"associated_image_share, option_image_share",grade_bucket
ensemble,Equal-weight ensemble,Raw,-3.172712886923347,-4.423201958737543,-1.6440823207806448,2000,0.24047065037314674,0.0,0.24047065037314674,none,none
ensemble,Equal-weight ensemble,Grade fixed effects,-2.673004019568852,-4.493955391421339,-0.8008000096915867,2000,0.28618384472357516,0.17669007980741547,0.1094937649161597,none,grade_bucket
ensemble,Equal-weight ensemble,Grade FE + visual share,-1.4768239159870211,-3.3596304439465996,0.26485690534424555,2000,0.3264123316140932,0.3047801471076059,0.021632184506487295,multimodal_share,grade_bucket
ensemble,Equal-weight ensemble,Grade FE + image-location shares,-0.4004520264970151,-2.3966948856167467,1.4389705304481186,2000,0.43383901273738057,0.4324184128917039,0.0014205998456766622,"associated_image_share, option_image_share",grade_bucket
