year,Grade 3-4,Grade 5-6,Grade 7-8,Grade 9-10,Grade 11-13
2001,35.904571320896935,37.18401467929518,35.745574619736935,32.4921166775103,32.23825047751794
2002,47.82951313806435,41.189982039221185,36.470082664721616,35.60223637232578,34.24289827959356
2003,44.5261967934779,38.70162185898796,40.51621887344041,33.058503297972585,30.880359236755144
2004,36.60346106132745,35.01559670458232,31.568728628680038,33.6969002306805,30.77768311102602
2005,42.724097892322355,41.43633944095574,43.92269205189226,36.81092095458803,39.28501975370907
2006,46.24475015071808,40.785274581600525,36.86620784339161,36.444238062944265,37.61232329578603
2007,46.130186161280626,39.888604099736234,36.0775886026661,37.719537263062406,35.48774738108225
2008,49.654258881364086,45.46738996240758,40.4155388553101,37.85465716858907,36.131920691385055
2009,41.52686981449741,34.22473339517645,37.829576883089636,33.29901961850096,35.93055061535178
2010,46.84427003408531,45.9882178804484,46.23562117228172,42.8540962565191,38.48705884967553
2011,42.64074326528453,38.25373515212316,44.900575357673574,39.082140387883044,38.55315173824132
2012,42.88258969080669,48.07749541051176,46.779109755439194,41.54715104036154,44.82006419201786
2013,43.681864375086384,41.5913869527604,35.91286394350951,42.56726546906188,42.94747608341047
2014,48.58067752264478,38.65281225704146,42.59697491406006,37.25599224904167,41.904646924007004
2015,41.90590130896963,45.23742896153975,45.116503751641915,42.38126682480267,44.432642167114835
2016,46.49061393029387,47.6135436729053,45.11095415547275,42.02554474708171,42.25120905430406
2017,47.846390129767116,41.28946779882238,39.42066863299231,40.219086254698844,41.91448839452926
2018,46.74833228079505,49.33564108646443,41.25237817461064,41.05070464493871,45.43040935672515
2019,51.38290934027798,46.48907737788319,47.94793796256556,43.12355149018874,44.03741035360276
2022,38.59946680391148,40.91611052517809,38.343845458006335,41.96850763807286,45.7479171877171
2023,40.29339788817592,41.59431093917349,42.60866484786886,39.835928995377586,38.291767666732895
2024,41.006105205523774,35.06571679204406,40.108356903484264,43.956787312665355,37.923934591194964
2025,53.24498798938968,48.11524556927635,49.15225415927291,43.558611862582545,42.885772991036156
