year,exam,grade_bucket,human_pct,human_mean_source,pooled_ensemble_pct,students,item_count,multimodal_share,associated_image_share,option_image_share,model_pct__anthropic-claude-sonnet-4.5,model_pct__openai-gpt-5,model_pct__qwen-qwen3-vl-235b-a22b-thinking,model_pct__x-ai-grok-4-fast,model_pct__ensemble
2001,3-4,Grade 3-4,35.904571320896935,histogram,74.16666666666667,17690,21,0.38095238095238093,0.3333333333333333,0.09523809523809523,78.57142857142857,77.38095238095238,67.85714285714286,72.85714285714286,74.16666666666667
2002,3-4,Grade 3-4,47.82951313806435,histogram,82.73809523809524,25435,21,0.42857142857142855,0.42857142857142855,0.23809523809523808,80.95238095238095,85.71428571428571,89.28571428571429,75.0,82.73809523809524
2003,3-4,Grade 3-4,44.5261967934779,histogram,78.39285714285714,35805,20,0.5,0.45,0.15,83.33333333333333,73.80952380952381,83.33333333333333,73.0952380952381,78.39285714285714
2004,3-4,Grade 3-4,36.60346106132745,histogram,90.29761904761905,48097,21,0.47619047619047616,0.42857142857142855,0.09523809523809523,90.47619047619048,95.23809523809524,94.04761904761905,81.42857142857143,90.29761904761905
2005,3-4,Grade 3-4,42.724097892322355,histogram,86.36904761904762,58523,21,0.47619047619047616,0.47619047619047616,0.14285714285714285,90.47619047619048,86.9047619047619,90.47619047619048,77.61904761904762,86.36904761904762
2006,3-4,Grade 3-4,46.24475015071808,histogram,73.57142857142857,84753,21,0.5714285714285714,0.5238095238095238,0.19047619047619047,69.04761904761905,76.19047619047619,78.57142857142857,70.47619047619048,73.57142857142857
2007,3-4,Grade 3-4,46.130186161280626,histogram,87.44047619047619,112721,21,0.38095238095238093,0.3333333333333333,0.14285714285714285,89.28571428571429,92.38095238095238,84.52380952380952,83.57142857142857,87.44047619047619
2008,3-4,Grade 3-4,49.654258881364086,histogram,81.42857142857143,190207,21,0.47619047619047616,0.47619047619047616,0.14285714285714285,89.28571428571429,78.33333333333333,79.76190476190476,78.33333333333333,81.42857142857143
2009,3-4,Grade 3-4,41.52686981449741,histogram,78.27380952380952,197787,21,0.42857142857142855,0.38095238095238093,0.09523809523809523,71.42857142857143,76.19047619047619,88.0952380952381,77.38095238095238,78.27380952380952
2010,3-4,Grade 3-4,46.84427003408531,histogram,78.22916666666667,209181,24,0.5,0.4583333333333333,0.20833333333333334,78.125,85.41666666666667,78.125,71.25,78.22916666666667
2011,3-4,Grade 3-4,42.64074326528453,histogram,78.125,226847,24,0.5833333333333334,0.5416666666666666,0.16666666666666666,64.58333333333333,87.5,88.54166666666667,71.875,78.125
2012,3-4,Grade 3-4,42.88258969080669,histogram,85.9375,222245,24,0.3333333333333333,0.2916666666666667,0.08333333333333333,90.20833333333333,84.375,79.16666666666667,90.0,85.9375
2013,3-4,Grade 3-4,43.681864375086384,reported,74.0625,246002,24,0.4166666666666667,0.375,0.16666666666666666,65.625,78.125,77.08333333333333,75.41666666666667,74.0625
2014,3-4,Grade 3-4,48.58067752264478,reported,70.57291666666667,266397,24,0.625,0.625,0.2916666666666667,71.875,77.29166666666667,68.75,64.375,70.57291666666667
