year,items,auxiliary_visual_share,question_diagram_share,option_image_share
1998,135,0.3111111111111111,0.26666666666666666,0.07407407407407407
1999,135,0.3111111111111111,0.28888888888888886,0.06666666666666667
2000,141,0.2624113475177305,0.24113475177304963,0.03546099290780142
2001,140,0.29285714285714287,0.2714285714285714,0.03571428571428571
2002,141,0.3191489361702128,0.3049645390070922,0.07092198581560284
2003,140,0.37857142857142856,0.37142857142857144,0.08571428571428572
2004,141,0.3900709219858156,0.375886524822695,0.06382978723404255
2005,141,0.40425531914893614,0.40425531914893614,0.05673758865248227
2006,141,0.375886524822695,0.36879432624113473,0.04964539007092199
2007,141,0.36879432624113473,0.3475177304964539,0.05673758865248227
2008,141,0.425531914893617,0.41134751773049644,0.06382978723404255
2009,141,0.3971631205673759,0.3829787234042553,0.028368794326241134
2010,138,0.4855072463768116,0.4492753623188406,0.10144927536231885
2011,138,0.42028985507246375,0.39855072463768115,0.09420289855072464
2012,138,0.391304347826087,0.35507246376811596,0.10869565217391304
2013,138,0.391304347826087,0.36231884057971014,0.10144927536231885
2014,138,0.427536231884058,0.42028985507246375,0.08695652173913043
2015,138,0.4420289855072464,0.41304347826086957,0.09420289855072464
2016,138,0.4782608695652174,0.45652173913043476,0.15942028985507245
2017,138,0.5217391304347826,0.4927536231884058,0.14492753623188406
2018,138,0.5144927536231884,0.4782608695652174,0.12318840579710146
2019,138,0.5434782608695652,0.4420289855072464,0.2028985507246377
2020,138,0.5362318840579711,0.47101449275362317,0.15217391304347827
2021,138,0.5797101449275363,0.5144927536231884,0.15942028985507245
2022,138,0.6304347826086957,0.6014492753623188,0.12318840579710146
2023,138,0.6231884057971014,0.5652173913043478,0.16666666666666666
2024,138,0.6666666666666666,0.644927536231884,0.12318840579710146
2025,138,0.7028985507246377,0.6304347826086957,0.21014492753623187
