dimension,category,population_count,population_share,sample_count,sample_share,difference_percentage_points
group,11-13,840,0.2161605764282038,42,0.21,-0.6160576428203807
group,3-4,623,0.16031909418425117,33,0.165,0.46809058157488426
group,5-6,744,0.1914565105506948,38,0.19,-0.14565105506947895
group,7-8,840,0.2161605764282038,43,0.215,-0.11605764282038022
group,9-10,839,0.21590324240864642,44,0.22,0.40967575913535836
points,3,1296,0.33350488934637157,68,0.34,0.6495110653628455
points,4,1296,0.33350488934637157,67,0.335,0.14951106536284509
points,5,1294,0.3329902213072568,65,0.325,-0.7990221307256795
visual_type,image_answers_only,119,0.030622748327328874,5,0.025,-0.5622748327328873
visual_type,no_separate_visual_element,2140,0.550694801852805,111,0.555,0.43051981471950995
visual_type,question_diagram_and_image_answers,274,0.07050952135872363,14,0.07,-0.050952135872361914
visual_type,question_diagram_only,1353,0.34817292846114256,70,0.35,0.18270715388574166
multimodal,False,2140,0.550694801852805,111,0.555,0.43051981471950995
multimodal,True,1746,0.44930519814719505,89,0.445,-0.4305198147195044
year_band,1998-2004,973,0.25038600102933606,51,0.255,0.4613998970663946
year_band,2005-2011,981,0.25244467318579517,51,0.255,0.2555326814204839
year_band,2012-2018,966,0.2485846628924344,49,0.245,-0.35846628924343926
year_band,2019-2025,966,0.2485846628924344,49,0.245,-0.35846628924343926
year,1998,135,0.03474009264024704,7,0.035,0.025990735975296025
year,1999,135,0.03474009264024704,7,0.035,0.025990735975296025
year,2000,141,0.03628409675759135,8,0.04,0.3715903242408648
year,2001,140,0.03602676273803397,7,0.035,-0.10267627380339678
year,2002,141,0.03628409675759135,7,0.035,-0.12840967575913492
year,2003,140,0.03602676273803397,7,0.035,-0.10267627380339678
year,2004,141,0.03628409675759135,8,0.04,0.3715903242408648
year,2005,141,0.03628409675759135,8,0.04,0.3715903242408648
year,2006,141,0.03628409675759135,8,0.04,0.3715903242408648
year,2007,141,0.03628409675759135,7,0.035,-0.12840967575913492
year,2008,141,0.03628409675759135,7,0.035,-0.12840967575913492
year,2009,141,0.03628409675759135,7,0.035,-0.12840967575913492
year,2010,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2011,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2012,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2013,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2014,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2015,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2016,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2017,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2018,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2019,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2020,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2021,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2022,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2023,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2024,138,0.035512094698919194,7,0.035,-0.0512094698919191
year,2025,138,0.035512094698919194,7,0.035,-0.0512094698919191
